DEBUG: General     , 1634577473054> LoggerManager.init                  > Initializing...
LOG  : General     , 1634577473095> cachedir set to "C:\Users\DiESF1RST\Zomboid"
LOG  : General     , 1634577473103> 18-10-2021 13:17:53
LOG  : General     , 1634577473103> cachedir is "C:\Users\DiESF1RST\Zomboid"
LOG  : General     , 1634577473104> LogFileDir is "C:\Users\DiESF1RST\Zomboid\Logs"
LOG  : General     , 1634577473104> ===== System specs =====
LOG  : General     , 1634577473106> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1634577473106> Processor: Intel64 Family 6 Model 158 Stepping 10, GenuineIntel
LOG  : General     , 1634577473106> Processor cores: 12
LOG  : General     , 1634577473108> Available processors (cores): 12
LOG  : General     , 1634577473109> Memory free: 1702.0 MB
LOG  : General     , 1634577473110> Memory max: 2048.0 MB
LOG  : General     , 1634577473110> Memory  total available to JVM: 1800.0 MB
LOG  : General     , 1634577473116> C:\, Total: 585.8789 GB, Free: 79.70411 GB
LOG  : General     , 1634577473116> D:\, Total: 346.4082 GB, Free: 27.237015 GB
LOG  : General     , 1634577473117> E:\, Total: 29.711426 GB, Free: 0.8171692 GB
LOG  : General     , 1634577473118> F:\, Total: 0.008464813 GB, Free: 0.0 GB
LOG  : General     , 1634577473119> I:\, Total: 3726.005 GB, Free: 764.41113 GB
LOG  : General     , 1634577473119> J:\, Total: 4657.493 GB, Free: 2666.1855 GB
LOG  : General     , 1634577473120> K:\, Total: 9313.961 GB, Free: 6206.0225 GB
LOG  : General     , 1634577473270> Mobo = [Product=MS-17G1]
LOG  : General     , 1634577473390> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=2601,Name=Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz]
LOG  : General     , 1634577473566> Graphics = { [AdapterRAM=4293918720,DriverVersion=30.0.14.9613,Name=NVIDIA GeForce RTX 2070 with Max-Q Design], [AdapterRAM=1073741824,DriverVersion=27.20.100.8681,Name=Intel(R) UHD Graphics 630] }
LOG  : General     , 1634577473741> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors]
LOG  : General     , 1634577473880> Sound = { [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Intel(R) Corporation,Name=Intel(R) Display Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Microphone], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Speakers], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Nahimic,Name=Nahimic mirroring device], [Manufacturer=(Generic USB Audio),Name=USB Audio Device] }
LOG  : General     , 1634577474002> Memory RAM = { [Capacity=8589934592,Manufacturer=Samsung], [Capacity=8589934592,Manufacturer=Samsung] }
LOG  : General     , 1634577474003> ========================
LOG  : General     , 1634577474003> -- listing properties --
LOG  : General     , 1634577474004> java.specification.version=15
LOG  : General     , 1634577474004> sun.cpu.isalist=amd64
LOG  : General     , 1634577474004> sun.jnu.encoding=Cp1252
LOG  : General     , 1634577474004> java.class.path=.;istack-commons-runtime.jar;jassimp....
LOG  : General     , 1634577474005> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1634577474005> sun.arch.data.model=64
LOG  : General     , 1634577474005> user.variant=
LOG  : General     , 1634577474005> java.vendor.url=http://www.azulsystems.com/
LOG  : General     , 1634577474006> user.timezone=America/New_York
LOG  : General     , 1634577474006> zomboid.steam=1
LOG  : General     , 1634577474006> java.vm.specification.version=15
LOG  : General     , 1634577474006> os.name=Windows 10
LOG  : General     , 1634577474006> user.country=US
LOG  : General     , 1634577474007> sun.boot.library.path=C:\GAMES\Steam\steamapps\common\Proje...
LOG  : General     , 1634577474007> zomboid.znetlog=1
LOG  : General     , 1634577474007> jdk.debug=release
LOG  : General     , 1634577474008> sun.cpu.endian=little
LOG  : General     , 1634577474008> user.home=C:\Users\DiESF1RST
LOG  : General     , 1634577474008> user.language=en
LOG  : General     , 1634577474009> java.specification.vendor=Oracle Corporation
LOG  : General     , 1634577474009> java.version.date=2020-10-20
LOG  : General     , 1634577474009> java.home=C:\GAMES\Steam\steamapps\common\Proje...
LOG  : General     , 1634577474009> file.separator=\
LOG  : General     , 1634577474009> line.separator=

LOG  : General     , 1634577474010> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1634577474010> java.specification.name=Java Platform API Specification
LOG  : General     , 1634577474010> java.awt.headless=true
LOG  : General     , 1634577474010> user.script=
LOG  : General     , 1634577474010> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1634577474011> java.runtime.version=15.0.1+9
LOG  : General     , 1634577474011> user.name=DiESF1RST
LOG  : General     , 1634577474011> path.separator=;
LOG  : General     , 1634577474011> os.version=10.0
LOG  : General     , 1634577474012> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1634577474012> file.encoding=Cp1252
LOG  : General     , 1634577474012> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1634577474012> java.vendor.version=Zulu15.28+51-CA
LOG  : General     , 1634577474012> java.vendor.url.bug=http://www.azulsystems.com/support/
LOG  : General     , 1634577474012> java.io.tmpdir=C:\Users\DIESF1~1\AppData\Local\Temp\
LOG  : General     , 1634577474013> java.version=15.0.1
LOG  : General     , 1634577474013> user.dir=C:\GAMES\Steam\steamapps\common\Proje...
LOG  : General     , 1634577474013> os.arch=amd64
LOG  : General     , 1634577474013> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1634577474013> sun.os.patch.level=
LOG  : General     , 1634577474014> java.library.path=win64/;.
LOG  : General     , 1634577474014> java.vm.info=mixed mode, sharing
LOG  : General     , 1634577474014> java.vendor=Azul Systems, Inc.
LOG  : General     , 1634577474014> java.vm.version=15.0.1+9
LOG  : General     , 1634577474014> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1634577474015> java.class.version=59.0
LOG  : General     , 1634577474015> -----
LOG  : General     , 1634577474015> versionNumber=41.55 - IWBUMS demo=false
LOG  : General     , 1634577474498> LightingFPS set to 15
LOG  : General     , 1634577474502> [javafmodJNI] Init: Start
LOG  : General     , 1634577474502> [javafmodJNI] Init: WIN 64
LOG  : General     , 1634577474523> 1634577474520 fmod: Java loging: OK
LOG  : General     , 1634577474626> 1634577474626 fmod: System Create: OK
LOG  : General     , 1634577474827> 1634577474827 fmod: Create DSP for capture sound
LOG  : General     , 1634577475040> GraphicsCard: NVIDIA Corporation NVIDIA GeForce RTX 2070 with Max-Q Design/PCIe/SSE2
LOG  : General     , 1634577475040> OpenGL version: 4.6.0 NVIDIA 496.13
LOG  : General     , 1634577475041> Desktop resolution 1920x1080
LOG  : General     , 1634577475043> Initial resolution 1920x1080 fullScreen=false
LOG  : General     , 1634577475047> OpenGL 1.5 buffer objects supported
LOG  : General     , 1634577475053> VSync: OFF
LOG  : General     , 1634577475108> NVIDIA: current available GPU memory is 5888 MB
LOG  : General     , 1634577475108> NVIDIA: dedicated available GPU memory is 8192 MB
LOG  : General     , 1634577475108> NVIDIA: total available GPU memory is 8192 MB
LOG  : General     , 1634577477316> AngelCodeFont failed to load page 0 texture C:/GAMES/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1634577477317> AngelCodeFont failed to load page 0 texture C:/GAMES/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1634577477323> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1634577477323> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1634577477323> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1634577477324> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1634577477324> AngelCodeFont failed to load page 0 texture C:/GAMES/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1634577477337> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1634577477472> Loading networking libraries...
LOG  : General     , 1634577477473> Loading steam_api64...
LOG  : General     , 1634577477475> Loading RakNet64...
LOG  : General     , 1634577477477> Loading ZNetJNI64...
LOG  : General     , 1634577477591> 1634577477591 znet: ZNet loaded
LOG  : General     , 1634577477592> 1634577477592 znet: Compiled with SERVER_STEAMAPI == 0
LOG  : General     , 1634577477592> 1634577477592 znet: Starting with bServer == false
LOG  : General     , 1634577477592> 1634577477592 znet: SteamAPI initialised successfully
LOG  : General     , 1634577477593> SteamUtils initialised successfully
LOG  : General     , 1634577477596> 1634577477595 znet: Java_zombie_core_znet_SteamWorkshop_n_1Init
LOG  : General     , 1634577477741> 1634577477741 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetInstalledItemFolders
LOG  : General     , 1634577477749> 1634577477749 znet: workshop item 2596544602 is not installed
LOG  : Mod         , 1634577478234> refusing to list examplemod
LOG  : Mod         , 1634577478254> 2x version of hcFarming.pack found.
LOG  : Mod         , 1634577478255> 2x version of hcBuilding.pack found.
LOG  : Mod         , 1634577478258> 2x version of NZTILEPACK.pack not found.
ERROR: Mod         , 1634577478258> ChooseGameInfo.readModInfoAux> tiledef=NZNEWTILES 1200 file number must be from 100 to 1000
LOG  : Mod         , 1634577478298> 2x version of grapeseed.pack not found.
ERROR: Mod         , 1634577478298> ChooseGameInfo.readModInfoAux> tiledef=ttools 2592 file number must be from 100 to 1000
LOG  : Mod         , 1634577478306> 2x version of SFFarm.pack found.
LOG  : Mod         , 1634577478310> 2x version of blackwood.pack not found.
ERROR: Mod         , 1634577478310> ChooseGameInfo.readModInfoAux> tiledef=blackwood 4827 file number must be from 100 to 1000
LOG  : Mod         , 1634577478311> 2x version of tkTiles_01.pack not found.
LOG  : Mod         , 1634577478312> 2x version of diederiks_tile_palooza.pack not found.
ERROR: Mod         , 1634577478313> ChooseGameInfo.readModInfoAux> tiledef=diederikv_tile_def 7001 file number must be from 100 to 1000
LOG  : Mod         , 1634577478318> 2x version of Kentucky.pack not found.
LOG  : Mod         , 1634577478319> 2x version of vacation_islands.pack not found.
LOG  : Mod         , 1634577478319> 2x version of Mcdonalds.pack not found.
LOG  : Mod         , 1634577478320> 2x version of silo21x.pack not found.
LOG  : Mod         , 1634577478320> 2x version of r_silo.pack not found.
LOG  : Mod         , 1634577478320> 2x version of ship.pack not found.
LOG  : Mod         , 1634577478320> 2x version of rocket.pack not found.
LOG  : Mod         , 1634577478321> 2x version of rushall.pack not found.
LOG  : Mod         , 1634577478321> 2x version of pacchetto.pack not found.
LOG  : Mod         , 1634577478321> 2x version of fortknox.pack not found.
LOG  : Mod         , 1634577478321> 2x version of NZTILEPACK.pack not found.
LOG  : Mod         , 1634577478322> 2x version of Lobii 5.1.pack not found.
LOG  : Mod         , 1634577478322> 2x version of CustomMapBridge.pack found.
LOG  : Mod         , 1634577478322> 2x version of CustomMapBridge.floor.pack found.
LOG  : Mod         , 1634577478323> 2x version of 0pop_climbing_01.pack not found.
LOG  : Mod         , 1634577478323> 2x version of 0pop_climbing_01r.pack not found.
LOG  : Mod         , 1634577478323> 2x version of 0pop_climbing_roof_01L.pack not found.
LOG  : Mod         , 1634577478323> 2x version of 0pop_climbing_roof_01CH.pack not found.
LOG  : Mod         , 1634577478324> 2x version of 0pop_26sheet.pack not found.
LOG  : Mod         , 1634577478324> 2x version of 0pop_26sheet2.pack not found.
LOG  : Mod         , 1634577478324> 2x version of Hashimapack.pack not found.
LOG  : Mod         , 1634577478324> 2x version of texturasl2.pack not found.
ERROR: Mod         , 1634577478325> ChooseGameInfo.readModInfoAux> tiledef=Hashima 2799 file number must be from 100 to 1000
ERROR: Mod         , 1634577478325> ChooseGameInfo.readModInfoAux> tiledef=0pop_26sheet 1112 file number must be from 100 to 1000
ERROR: Mod         , 1634577478325> ChooseGameInfo.readModInfoAux> tiledef=0pop_26sheet2 1122 file number must be from 100 to 1000
ERROR: Mod         , 1634577478325> ChooseGameInfo.readModInfoAux> tiledef=0pop_climbing_roof_01CH 4002 file number must be from 100 to 1000
ERROR: Mod         , 1634577478326> ChooseGameInfo.readModInfoAux> tiledef=0pop_climbing_roof_01L 3002 file number must be from 100 to 1000
ERROR: Mod         , 1634577478326> ChooseGameInfo.readModInfoAux> tiledef=0pop_climbing_01r 2002 file number must be from 100 to 1000
ERROR: Mod         , 1634577478326> ChooseGameInfo.readModInfoAux> tiledef=0pop_climbing_01 1002 file number must be from 100 to 1000
ERROR: Mod         , 1634577478326> ChooseGameInfo.readModInfoAux> tiledef=NZNEWTILES 1200 file number must be from 100 to 1000
ERROR: Mod         , 1634577478327> ChooseGameInfo.readModInfoAux> tiledef=customtilef 2800 file number must be from 100 to 1000
LOG  : Mod         , 1634577478329> 2x version of Atox.pack found.
LOG  : Mod         , 1634577478329> 2x version of Flags.pack found.
LOG  : Mod         , 1634577478330> 2x version of Pantano.pack found.
LOG  : Mod         , 1634577478330> 2x version of spiffos.pack found.
LOG  : Mod         , 1634577478330> 2x version of Texas.pack found.
LOG  : Mod         , 1634577478331> 2x version of fortknox.pack not found.
ERROR: Mod         , 1634577478332> ChooseGameInfo.readModInfoAux> tiledef=customtiles 2800 file number must be from 100 to 1000
LOG  : Mod         , 1634577478335> 2x version of swws_weather_station.pack not found.
ERROR: Mod         , 1634577478336> ChooseGameInfo.readModInfoAux> tiledef=swws 6941 file number must be from 100 to 1000
LOG  : Mod         , 1634577478358> loading ZADbyDislaik
LOG  : Mod         , 1634577478360> loading 88golfMk2
LOG  : Mod         , 1634577478363> mod "88golfMk2" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1634577478364> mod "88golfMk2" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1634577478365> loading 89def90
LOG  : Mod         , 1634577478369> mod "89def90" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1634577478369> mod "89def90" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1634577478371> mod "89def90" overrides preview.png
LOG  : Mod         , 1634577478372> loading 90niva
LOG  : Mod         , 1634577478375> mod "90niva" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1634577478375> mod "90niva" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1634577478375> mod "90niva" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1634577478376> mod "90niva" overrides preview.png
LOG  : Mod         , 1634577478376> loading autotsartrailers
LOG  : Mod         , 1634577478386> mod "autotsartrailers" overrides media/lua/shared/translate/de/contextmenu_de.txt
LOG  : Mod         , 1634577478386> mod "autotsartrailers" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1634577478386> mod "autotsartrailers" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1634577478387> mod "autotsartrailers" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1634577478387> mod "autotsartrailers" overrides media/lua/shared/translate/it/contextmenu_it.txt
LOG  : Mod         , 1634577478387> mod "autotsartrailers" overrides media/lua/shared/translate/it/ig_ui_it.txt
LOG  : Mod         , 1634577478388> mod "autotsartrailers" overrides media/lua/shared/translate/pl/contextmenu_pl.txt
LOG  : Mod         , 1634577478388> mod "autotsartrailers" overrides media/lua/shared/translate/pl/ig_ui_pl.txt
LOG  : Mod         , 1634577478389> mod "autotsartrailers" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1634577478389> mod "autotsartrailers" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1634577478393> mod "autotsartrailers" overrides media/textures/vehicles/vehicle_trailer.png
LOG  : Mod         , 1634577478394> loading AdditionalSkillBooks2fix
LOG  : Mod         , 1634577478397> mod "AdditionalSkillBooks2fix" overrides media/lua/shared/translate/de/items_de.txt
LOG  : Mod         , 1634577478397> mod "AdditionalSkillBooks2fix" overrides media/lua/shared/translate/de/recipes_de.txt
LOG  : Mod         , 1634577478397> mod "AdditionalSkillBooks2fix" overrides media/lua/shared/translate/ru/items_ru.txt
LOG  : Mod         , 1634577478398> mod "AdditionalSkillBooks2fix" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1634577478398> loading AdditionalBooks2
LOG  : Mod         , 1634577478400> mod "AdditionalBooks2" overrides media/lua/server/items/booksdistribution.lua
LOG  : Mod         , 1634577478401> mod "AdditionalBooks2" overrides media/lua/server/xpsystem/xpsystem_asbskillbook.lua
LOG  : Mod         , 1634577478401> mod "AdditionalBooks2" overrides media/lua/shared/translate/en/items_en.txt
LOG  : Mod         , 1634577478401> mod "AdditionalBooks2" overrides media/lua/shared/translate/ru/items_ru.txt
LOG  : Mod         , 1634577478401> mod "AdditionalBooks2" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1634577478401> mod "AdditionalBooks2" overrides media/scripts/additional_books.txt
LOG  : Mod         , 1634577478402> mod "AdditionalBooks2" overrides media/textures/item_abbookathletic.png
LOG  : Mod         , 1634577478402> mod "AdditionalBooks2" overrides media/textures/item_abbookgun.png
LOG  : Mod         , 1634577478402> mod "AdditionalBooks2" overrides media/textures/item_abbookmelee.png
LOG  : Mod         , 1634577478402> mod "AdditionalBooks2" overrides media/textures/item_abbookstealth.png
LOG  : Mod         , 1634577478403> loading Anime Style
LOG  : Mod         , 1634577478404> mod "Anime Style" overrides media/textures/body/femalebody01.png
LOG  : Mod         , 1634577478404> mod "Anime Style" overrides media/textures/body/femalebody02.png
LOG  : Mod         , 1634577478405> mod "Anime Style" overrides media/textures/body/femalebody03.png
LOG  : Mod         , 1634577478405> mod "Anime Style" overrides media/textures/body/femalebody04.png
LOG  : Mod         , 1634577478405> mod "Anime Style" overrides media/textures/body/femalebody05.png
LOG  : Mod         , 1634577478405> mod "Anime Style" overrides media/textures/body/malebody01.png
LOG  : Mod         , 1634577478406> mod "Anime Style" overrides media/textures/body/malebody01a.png
LOG  : Mod         , 1634577478406> mod "Anime Style" overrides media/textures/body/malebody02.png
LOG  : Mod         , 1634577478406> mod "Anime Style" overrides media/textures/body/malebody02a.png
LOG  : Mod         , 1634577478406> mod "Anime Style" overrides media/textures/body/malebody03.png
LOG  : Mod         , 1634577478406> mod "Anime Style" overrides media/textures/body/malebody03a.png
LOG  : Mod         , 1634577478407> mod "Anime Style" overrides media/textures/body/malebody04.png
LOG  : Mod         , 1634577478407> mod "Anime Style" overrides media/textures/body/malebody04a.png
LOG  : Mod         , 1634577478407> mod "Anime Style" overrides media/textures/body/malebody05.png
LOG  : Mod         , 1634577478407> mod "Anime Style" overrides media/textures/body/malebody05a.png
LOG  : Mod         , 1634577478407> loading BookLearning
LOG  : Mod         , 1634577478408> loading CustomizableZombies
LOG  : Mod         , 1634577478414> mod "CustomizableZombies" overrides media/lua/shared/translate/af/contextmenu_af.txt
LOG  : Mod         , 1634577478414> mod "CustomizableZombies" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1634577478414> mod "CustomizableZombies" overrides media/lua/shared/translate/ch/contextmenu_ch.txt
LOG  : Mod         , 1634577478415> mod "CustomizableZombies" overrides media/lua/shared/translate/cn/contextmenu_cn.txt
